序号, 基金代码, 基金名称,开始日期,截止日期,阈值区间,人工设置最大回撤
1,'006567,中泰星元灵活配置混合A (006567),na,na,,16.0,
2,'006624,中泰玉衡价值优选混合A (006624),na,na,,16.0,
3,'003834,华夏能源革新股票A (003834),na,na,,na,
4,'011229,创金合信数字经济主题股票A (011229),na,na,,na,
5,'162202,泰达宏利周期混合 (162202),na,na,,na,
6,'001856,易方达环保主题混合 (001856),na,na,,na,
7,'001300,大成睿景灵活配置混合A (001300),na,na,,na,
8,'001907,国投瑞银境煊灵活配置混合A (001907),na,na,,na,
9,'012079,信澳新能源精选混合 (012079),na,na,,na,
10,'004475,华泰柏瑞富利混合A (004475),na,na,,na,
11,'000828,泰达转型机遇股票A (000828),na,na,,na,
12,'000729,建信中小盘先锋股票A (000729),na,na,,na,
13,'012148,国投瑞银产业趋势混合A (012148),na,na,,na,
14,'161725,招商中证白酒指数(LOF)A (161725),na,na,,na,
15,'002340,富国价值优势混合 (002340),na,na,,na,
16,'014038,交银启诚混合A (014038),na,na,,na,
17,'519702,交银趋势混合A (519702),na,na,,na,
18,'005001,交银持续成长主题混合 (005001),na,na,,na,
19,'001287,安信优势增长混合A (001287),na,na,,na,
20,'040015,华安动态灵活配置混合A (040015),na,na,,na,
21,'519700,交银主题优选混合A (519700),na,na,,na,
22,'519181,万家和谐增长混合 (519181),na,na,,na,
23,'001186,富国文体健康股票A (001186),na,na,,na,
24,'001811,中欧明睿新常态混合A (001811),na,na,,na,
25,'540008,汇丰晋信低碳先锋股票A (540008),na,na,,na,
26,'001643,汇丰晋信智造先锋股票A (001643),na,na,,na,
27,'001832,易方达瑞恒灵活配置混合 (001832),na,na,,na,
28,'530003,建信优选成长混合A (530003),na,na,,na,
29,'005827,易方达蓝筹精选混合 (005827),na,na,80%~,na,
30,'002168,嘉实智能汽车股票 (002168),na,na,,na,
31,'001156,申万菱信新能源汽车混合 (001156),na,na,,na,
32,'519002,华安安信消费混合A (519002),na,na,,na,
33,'166301,华商新趋势优选灵活配置混合 (166301),na,na,,na,
34,'000991,工银战略转型股票A (000991),na,na,,na,
35,'002256,金信行业优选混合发起式 (002256),na,na,,na,
36,'010364,鹏华空天军工指数(LOF)C (010364),na,na,,na,
37,'001105,信澳转型创新股票A (001105),na,na,,na,
38,'513050,易方达中概互联50ETF (513050),na,na,80%~,na,
39,'000248,汇添富中证主要消费ETF联接A (000248),na,na,60%~,na,
40,'160119,南方中证500ETF联接A (160119),na,na,,na,
41,'001717,工银前沿医疗股票A (001717),na,na,80%~,na,
42,'005774,华夏产业升级混合A (005774),na,na,,na,
43,'007475,华夏创成长ETF联接C (007475),na,na,,na,
44,'720001,财通价值动量混合 (720001),na,na,,na,
45,'005094,万家臻选混合 (005094),na,na,,na,
46,'001404,招商移动互联网产业股票基金A (001404),na,na,,na,
47,'013339,创金合信芯片产业股票发起A (013339),na,na,60%~,na,
48,'290011,泰信中小盘精选混合 (290011),na,na,,na,
49,'519674,银河创新成长混合A (519674),na,na,70%~,na,
50,'008281,国泰CES半导体芯片行业ETF联接A (008281),na,na,80%~,na,
51,'008121,万家自主创新混合C (008121),na,na,80%~,na,
52,'001366,金鹰产业整合混合 (001366),na,na,,na,
53,'000547,建信健康民生混合A(000547),na,na,,na,
54,'002938,中银证券健康产业混合 (002938),2022-01-01,2025-07-25,,na,
55,'540002,汇丰晋信龙腾混合 (540002),2022-01-01,2025-07-25,,na,
56,'270006,广发策略优选混合 (270006),2022-01-01,2025-07-25,,na,
57,'160921,大成多策略混合(LOF)A (160921),2022-01-01,2025-07-25,,na,
58,'770001,德邦优化混合 (770001),2022-01-01,2025-07-25,,na,
