#, 基金代码, 基金名称, 最新净值日期, 最新净值, 最新回撤, 相对于历史最大回撤,阈值区间,--,成立以来最大回撤, 最大回撤净值, 最大回撤周期,--, 历史最高日期, 历史最高日净值, 备注
1, '006567, 中泰星元灵活配置混合A (006567), 2022-07-14, 2.4057, -3.7%, 22.74%, , , -16.27%, 1.2971 -> 1.0861, 2020-01-13 -> 2020-03-23, , 2022-04-08, 2.4982, false
2, '006624, 中泰玉衡价值优选混合A (006624), 2022-07-14, 2.1363, -3.25%, 18.97%, , , -17.13%, 1.1112 -> 0.9208, 2020-01-13 -> 2020-03-23, , 2022-04-08, 2.2081, false
3, '003834, 华夏能源革新股票A (003834), 2022-07-14, 3.804, -11.74%, 29.31%, , , -40.05%, 1.226 -> 0.735, 2017-09-11 -> 2018-10-16, , 2021-09-15, 4.31, false
4, '011229, 创金合信数字经济主题股票A (011229), 2022-07-14, 1.5409, -8.33%, 31.25%, , , -26.66%, 1.681 -> 1.2329, 2021-12-31 -> 2022-04-26, , 2021-12-31, 1.681, false
5, '162202, 泰达宏利周期混合 (162202), 2022-07-14, 4.1259, -1.16%, 2.21%, , , -52.4%, 2.1251 -> 0.5731, 2007-10-16 -> 2008-11-04, , 2022-07-07, 4.1738, true
6, '001856, 易方达环保主题混合 (001856), 2022-07-14, 4.599, -1.22%, 3.33%, , , -36.69%, 4.609 -> 2.918, 2021-10-27 -> 2022-04-26, , 2022-07-07, 4.656, false
7, '001300, 大成睿景灵活配置混合A (001300), 2022-07-14, 2.296, -13.55%, 28.41%, , , -47.7%, 1.0 -> 0.523, 2015-05-26 -> 2018-10-18, , 2021-12-31, 2.656, false
8, '001907, 国投瑞银境煊灵活配置混合A (001907), 2022-07-14, 3.2446, -6.3%, 25.97%, , , -24.26%, 3.4629 -> 2.6229, 2022-01-04 -> 2022-04-26, , 2022-01-04, 3.4629, false
9, '012079, 信澳新能源精选混合 (012079), 2022-07-14, 1.625, -9.34%, 20.89%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, false
10, '004475, 华泰柏瑞富利混合A (004475), 2022-07-14, 1.7239, -4.29%, 12.28%, , , -34.94%, 1.0847 -> 0.7057, 2018-01-26 -> 2019-01-02, , 2022-06-28, 1.8012, false
11, '000828, 泰达转型机遇股票A (000828), 2022-07-14, 3.445, -15.27%, 24.7%, , , -61.83%, 1.598 -> 0.609, 2015-06-03 -> 2018-10-18, , 2021-10-29, 4.067, true
12, '000729, 建信中小盘先锋股票A (000729), 2022-07-14, 4.24, -3.24%, 6.09%, , , -53.18%, 2.249 -> 1.053, 2015-06-12 -> 2019-01-03, , 2022-07-05, 4.382, false
13, '012148, 国投瑞银产业趋势混合A (012148), 2022-07-14, 1.5109, -20.92%, 41.41%, , , -50.52%, 1.9106 -> 0.9454, 2021-09-15 -> 2022-04-26, , 2021-09-15, 1.9106, false
14, '161725, 招商中证白酒指数(LOF)A (161725), 2022-07-14, 1.1927, -22.82%, 56.68%, , , -40.26%, 1.34 -> 0.8002, 2018-06-12 -> 2018-10-30, , 2021-06-07, 1.6466, true
15, '002340, 富国价值优势混合 (002340), 2022-07-14, 3.7494, -13.01%, 40.38%, , , -32.22%, 1.499 -> 1.016, 2018-01-23 -> 2019-01-03, , 2021-12-09, 4.3102, false
16, '014038, 交银启诚混合A (014038), 2022-07-14, 1.052, -0.92%, 7.39%, , , -12.45%, 1.0217 -> 0.8945, 2022-02-25 -> 2022-04-26, , 2022-07-04, 1.0618, false
17, '519702, 交银趋势混合A (519702), 2022-07-14, 4.2766, -5.45%, 12.07%, , , -45.14%, 2.062 -> 1.131, 2015-06-12 -> 2015-09-15, , 2021-12-31, 4.8537, true
18, '005001, 交银持续成长主题混合 (005001), 2022-07-14, 2.2585, -1.14%, 4.52%, , , -25.21%, 2.3126 -> 1.7295, 2021-12-31 -> 2022-04-25, , 2022-07-05, 2.3201, true
19, '001287, 安信优势增长混合A (001287), 2022-07-14, 3.0672, -4.36%, 15.13%, , , -28.81%, 1.6561 -> 1.1784, 2018-01-23 -> 2019-01-03, , 2022-07-04, 3.2069, true
20, '040015, 华安动态灵活配置混合A (040015), 2022-07-14, 4.962, -7.43%, 18.39%, , , -40.4%, 2.11 -> 1.258, 2015-06-12 -> 2015-09-15, , 2021-11-29, 5.362, true
21, '519700, 交银主题优选混合A (519700), 2022-07-14, 2.0386, -5.64%, 13.65%, , , -41.31%, 2.193 -> 1.287, 2015-06-12 -> 2015-07-08, , 2022-01-04, 2.1593, true
22, '519181, 万家和谐增长混合 (519181), 2022-07-14, 1.7436, -16.59%, 25.5%, , , -65.05%, 1.2218 -> 0.4273, 2007-10-16 -> 2008-11-04, , 2021-09-13, 2.089, true
23, '001186, 富国文体健康股票A (001186), 2022-07-14, 2.014, -22.24%, 41.64%, , , -53.41%, 1.204 -> 0.561, 2015-06-12 -> 2015-09-15, , 2022-01-04, 2.59, false
24, '001811, 中欧明睿新常态混合A (001811), 2022-07-14, 3.3715, -10.22%, 24.92%, , , -41.01%, 3.7534 -> 2.2146, 2021-11-29 -> 2022-04-26, , 2021-11-29, 3.7534, true
25, '540008, 汇丰晋信低碳先锋股票A (540008), 2022-07-14, 4.2974, -10.84%, 15.87%, , , -68.31%, 2.7076 -> 0.8592, 2015-06-12 -> 2018-10-18, , 2021-09-15, 4.8206, true
26, '001832, 易方达瑞恒灵活配置混合 (001832), 2022-07-14, 2.552, -16.82%, 52.89%, , , -31.8%, 1.044 -> 0.712, 2018-06-12 -> 2018-10-29, , 2021-02-10, 3.068, false
27, '530003, 建信优选成长混合A (530003), 2022-07-14, 2.5437, -24.89%, 39.56%, , , -62.92%, 2.6345 -> 0.5497, 2007-10-16 -> 2008-11-04, , 2021-02-10, 3.5847, true
28, '005827, 易方达蓝筹精选混合 (005827), 2022-07-14, 2.2566, -36.05%, 80.85%, 80%~, , -44.59%, 3.5287 -> 1.9552, 2021-02-10 -> 2022-03-15, , 2021-02-10, 3.5287, false
29, '002168, 嘉实智能汽车股票 (002168), 2022-07-14, 4.089, -16.36%, 38.48%, , , -42.52%, 4.889 -> 2.81, 2021-11-29 -> 2022-04-26, , 2021-11-29, 4.889, false
30, '001156, 申万菱信新能源汽车混合 (001156), 2022-07-14, 3.077, -2.57%, 6.95%, , , -37.0%, 1.138 -> 0.717, 2017-11-13 -> 2018-10-18, , 2022-07-07, 3.158, true
31, '012079, 信澳新能源精选混合 (012079), 2022-07-14, 1.625, -9.34%, 20.89%, , , -44.72%, 1.7725 -> 0.9799, 2021-08-31 -> 2022-04-26, , 2022-07-07, 1.7924, false
