FSRQ, DWJZ, LJJZ, JZZZL, SDATE, ACTUALSYI, NAVTYPE, SGZT, SHZT, FHFCZ, FHFCBZ, DTYPE, FHSP, FQJZ, preHighFSRQ, preHighDWJZ, preHighLJJZ, withdraw, 
2015-05-20, 1.0, 1.0, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0, 2015-05-20, 1.0, 1.0, 0.0, 
2015-05-22, 1.0, 1.0, 0.0,        null,        ,        1,        封闭期,        封闭期,        ,        ,        null,        , 1.0, 2015-05-20, 1.0, 1.0, 0.0, 
2015-05-25, 1.001, 1.001, 0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-05-26, 1.001, 1.001, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-05-27, 1.001, 1.001, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-05-28, 1.0, 1.0, -0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-05-29, 1.0, 1.0, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-06-01, 1.0, 1.0, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-06-02, 1.0, 1.0, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-06-03, 1.0, 1.0, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-06-04, 1.0, 1.0, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0, 2015-05-25, 1.001, 1.001, 0.1, 
2015-06-05, 1.001, 1.001, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-06-08, 1.001, 1.001, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-06-09, 1.001, 1.001, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.001, 2015-05-25, 1.001, 1.001, 0.0, 
2015-06-10, 1.002, 1.002, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.002, 2015-06-10, 1.002, 1.002, 0.0, 
2015-06-11, 1.002, 1.002, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.002, 2015-06-10, 1.002, 1.002, 0.0, 
2015-06-12, 1.003, 1.003, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.003, 2015-06-12, 1.003, 1.003, 0.0, 
2015-06-15, 1.003, 1.003, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.003, 2015-06-12, 1.003, 1.003, 0.0, 
2015-06-16, 1.004, 1.004, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.004, 2015-06-16, 1.004, 1.004, 0.0, 
2015-06-17, 1.004, 1.004, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.004, 2015-06-16, 1.004, 1.004, 0.0, 
2015-06-18, 1.005, 1.005, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.005, 2015-06-18, 1.005, 1.005, 0.0, 
2015-06-19, 1.005, 1.005, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.005, 2015-06-18, 1.005, 1.005, 0.0, 
2015-06-23, 1.006, 1.006, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.00601, 2015-06-23, 1.006, 1.006, 0.0, 
2015-06-24, 1.007, 1.007, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.00702, 2015-06-24, 1.007, 1.007, 0.0, 
2015-06-25, 1.008, 1.008, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.00803, 2015-06-25, 1.008, 1.008, 0.0, 
2015-06-26, 1.012, 1.012, 0.4,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.01206, 2015-06-26, 1.012, 1.012, 0.0, 
2015-06-29, 1.013, 1.013, 0.1,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.01307, 2015-06-29, 1.013, 1.013, 0.0, 
2015-06-30, 1.015, 1.015, 0.2,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-01, 1.015, 1.015, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-02, 1.015, 1.015, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-03, 1.015, 1.015, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-06, 1.015, 1.015, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-07, 1.015, 1.015, 0.0,        null,        ,        1,        限制大额申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-08, 1.015, 1.015, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-09, 1.015, 1.015, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.0151, 2015-06-30, 1.015, 1.015, 0.0, 
2015-07-10, 1.016, 1.016, 0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-13, 1.016, 1.016, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-14, 1.016, 1.016, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-15, 1.016, 1.016, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-16, 1.016, 1.016, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-17, 1.016, 1.016, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01612, 2015-07-10, 1.016, 1.016, 0.0, 
2015-07-20, 1.017, 1.017, 0.1,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
2015-07-21, 1.017, 1.017, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
2015-07-22, 1.017, 1.017, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
2015-07-23, 1.017, 1.017, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
2015-07-24, 1.017, 1.017, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
2015-07-27, 1.017, 1.017, 0.0,        null,        ,        1,        开放申购,        开放赎回,        ,        ,        null,        , 1.01714, 2015-07-20, 1.017, 1.017, 0.0, 
