FSRQ,DWJZ,LJJZ,JZZZL,SDATE,ACTUALSYI,NAVTYPE,SGZT,SHZT,FHFCZ,FHFCBZ,DTYPE,FHSP,FQJZ,preHighFSRQ,preHighDWJZ,preHighLJJZ,withdraw,
2006-11-30,1.0,1.0,0.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.0,2006-11-30,1.0,1.0,0.0,
2006-12-01,0.9972,0.9972,-0.28,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,0.9972,2006-11-30,1.0,1.0,0.28,
2006-12-08,0.9835,0.9835,-1.37,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,0.98354,2006-11-30,1.0,1.0,1.65,
2006-12-15,1.0281,1.0281,4.53,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.02809,2006-12-15,1.0281,1.0281,0.0,
2006-12-22,1.0487,1.0487,2.0,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.04865,2006-12-22,1.0487,1.0487,0.0,
2006-12-27,1.0787,1.0787,2.86,            null,            ,            1,            封闭期,            封闭期,            ,            ,            null,            ,1.07864,2006-12-27,1.0787,1.0787,0.0,
2006-12-28,1.0719,1.0719,-0.63,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.07184,2006-12-27,1.0787,1.0787,0.63,
2006-12-29,1.0934,1.0934,2.01,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.09338,2006-12-29,1.0934,1.0934,0.0,
2006-12-31,1.0934,1.0934,0.0,            null,            ,            0,            开放申购,            封闭期,            ,            ,            null,            ,1.09338,2006-12-29,1.0934,1.0934,0.0,
2007-01-04,1.0917,1.0917,-0.16,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.09163,2006-12-29,1.0934,1.0934,0.16,
2007-01-05,1.1019,1.1019,0.93,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.10178,2007-01-05,1.1019,1.1019,0.0,
2007-01-08,1.1272,1.1272,2.3,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.12712,2007-01-08,1.1272,1.1272,0.0,
2007-01-09,1.1516,1.1516,2.16,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.15147,2007-01-09,1.1516,1.1516,0.0,
2007-01-10,1.1775,1.1775,2.25,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.17738,2007-01-10,1.1775,1.1775,0.0,
2007-01-11,1.1691,1.1691,-0.71,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.16902,2007-01-10,1.1775,1.1775,0.71,
2007-01-12,1.1524,1.1524,-1.43,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.1523,2007-01-10,1.1775,1.1775,2.13,
2007-01-15,1.2156,1.2156,5.48,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.21545,2007-01-15,1.2156,1.2156,0.0,
2007-01-16,1.2566,1.2566,3.37,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.25641,2007-01-16,1.2566,1.2566,0.0,
2007-01-17,1.2446,1.2446,-0.96,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.24435,2007-01-16,1.2566,1.2566,0.96,
2007-01-18,1.2751,1.2751,2.45,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.27484,2007-01-18,1.2751,1.2751,0.0,
2007-01-19,1.3153,1.3153,3.15,            null,            ,            1,            开放申购,            封闭期,            ,            ,            null,            ,1.315,2007-01-19,1.3153,1.3153,0.0,
